Account_number,Ledger,Company_name,Date,Metric,Cost
10062,  Vestige Webster Collections6867,Bytecurve,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Bytecurve (All),06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,Elimination Entity,06/30/2025,Actual,0.0
10062,  Vestige Webster Collections6867,All Locations,06/30/2025,Actual,-150.96
10074,  CTS checking account 0101,TT Intermediate Corp,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Transit Technologies LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,"Foxster Opco, LLC",06/30/2025,Actual,126369.22
10074,  CTS checking account 0101,Ecolane Finland,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Ecolane USA,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,The Vestige Group LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10074,  CTS checking account 0101,MJM Innovations LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,DispatchBot LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,TT Faster LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,ArgoTrak Inc,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Passio Tech LLC,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Tripshot,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,busHive,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Bytecurve,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Bytecurve (All),06/30/2025,Actual,0.0
10074,  CTS checking account 0101,Elimination Entity,06/30/2025,Actual,0.0
10074,  CTS checking account 0101,All Locations,06/30/2025,Actual,126369.22
10080,  ArgoTrak Webster Operations,TT Intermediate Corp,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Transit Technologies LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Ecolane Finland,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Ecolane USA,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Argo-Migrated to Vestige Group,06/30/2025,Actual,1281.55
10080,  ArgoTrak Webster Operations,The Vestige Group LLC,06/30/2025,Actual,-1281.55
10080,  ArgoTrak Webster Operations,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,MJM Innovations LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,DispatchBot LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,TT Faster LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,ArgoTrak Inc,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Passio Tech LLC,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Tripshot,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,busHive,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Bytecurve,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Bytecurve (All),06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,Elimination Entity,06/30/2025,Actual,0.0
10080,  ArgoTrak Webster Operations,All Locations,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,TT Intermediate Corp,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Transit Technologies LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Ecolane Finland,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Ecolane USA,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,The Vestige Group LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,MJM Innovations LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,DispatchBot LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,TT Faster LLC,06/30/2025,Actual,526463.8
10090,  TT Faster Webster Operating 6874,ArgoTrak Inc,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Passio Tech LLC,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Tripshot,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,busHive,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Bytecurve,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Bytecurve (All),06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,Elimination Entity,06/30/2025,Actual,0.0
10090,  TT Faster Webster Operating 6874,All Locations,06/30/2025,Actual,526463.8
10095,  Passio Webster Operating,TT Intermediate Corp,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Transit Technologies LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Ecolane Finland,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Ecolane USA,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,The Vestige Group LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10095,  Passio Webster Operating,MJM Innovations LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,DispatchBot LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,TT Faster LLC,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,ArgoTrak Inc,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Passio Tech LLC,06/30/2025,Actual,307042.79
10095,  Passio Webster Operating,Tripshot,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,busHive,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Bytecurve,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Bytecurve (All),06/30/2025,Actual,0.0
10095,  Passio Webster Operating,Elimination Entity,06/30/2025,Actual,0.0
10095,  Passio Webster Operating,All Locations,06/30/2025,Actual,307042.79
10100,  MJ Operating 6506,TT Intermediate Corp,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Transit Technologies LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Ecolane Finland,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Ecolane USA,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,The Vestige Group LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10100,  MJ Operating 6506,MJM Innovations LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,MJM Innovations LLC - NEW,06/30/2025,Actual,448035.26
10100,  MJ Operating 6506,DispatchBot LLC,06/30/2025,Actual,0.0
10100,  MJ Operating 6506,TT Faster LLC,06/30/2025,Actual,0.0
